reference,LAPTOP_MODEL,description,PRICE,created_at,city,spec_Carte graphique,LAPTOP_CONDITION,LAPTOP_BRAND,CPU,RAM_SIZE,spec_Reférence carte graphique dédiée,spec_Reférence carte graphique integrée,STORAGE_SIZE,SCREEN_SIZE,STORAGE_TYPE,RAM_GB,SSD_GB,HDD_GB
APPLE MACBOOK AIR 2020,"APPLE MACBOOK AIR 2020 M1 8GB 256GB SSD 2K 13""","Disponible chez TRETEC INFORMATIQUE Magasin de service , vente et dépannage de matériel informatique -BAB EZZOUAR-
ORDINATEUR PORTABLE Importé d’Europe ""Caba"" Très Haute Qualité et Bonne Prix Avec **GARANTIE**
------------------------------------------
• FOURNIR AVEC CHARGEUR 
• LIVRAISON A DOMICILE
• GARANTIE 02 MOIS + SERVICE APRES VENTE
------------------------------------
• PRODUIT : ORDINATEUR PORTABLE
• MARQUE : APPLE
• MODELE : MACBOOK AIR 2020
-------------------------------------
CARACTERISTIQUE :
• PROCESSEUR : APPLE M1 chip , With 8-Core CPU and 7-Core GPU
• MEMOIRE : 8 GB
• STOCKAGE : 256 GB SSD
• ECRAN : 13"" 2K (1920 X 1080)
• CARTE GRAPHIQUE INTIGREE : APPLE M1
• LECTEUR EMPREINTE
• INTERFACES : 2 X USB TYPE C
• WIFI + BLEUTHOOT + WEB CAM
• SYSTEM D’EXPLOITATION : macOS 


PRIX : 105 000,00 DZD


*** Note : POSSIBILITÉ DE FACTURATION POUR LES ENTREPRISES ***
---------------------------------
•Contact : -
• Email : 
• Page Facebook : 
• SITE Web : 
• ",105000.0,2024-09-01T11:27:37.000Z,Bab ezzouar,Intégrée,Etat neuf,APPLE,APPLE M1,8 GO,,APPLE M1,256GO,13.0,SSD,8,256,0
,LENOVO THINKPAD T14 GEN 2 I5 VPRO 1145G7 8GO 256GO SSD ,"LENOVO THINKPAD
T14 GEN 2
+ LECTEUR D'EMPREINTE
CPU INTEL CORE I5 VPRO 1145G7 2.4GHZ 
BOOST 4.2GHZ 8 THREADS
8MO CACHE
RAM 8GO DDR4X 3200MHZ
DISQUE 256 GO SSD NVME 
WIFI BLUETOOTH WEB CAM
USB 3.1
GRAPHIC
INTEL IRIS XE GRAPHIC
ECRAN 14"" FULL HD 1080P LED
ANTIREFLET IPS
CLAVIER RETRO ECLAIRE 
WINDOWS 11 ORIGINALE
PRIX : 72000da

- - - - - - - - - - - - - - - - - - -
MOBILE 📱 COMMERCIAL RABAH : 0551.67.46.36
POSSIBILITE DE FACTURATION
LIVRAISON GRATUITE SUR 58 WILAYAS
GARANTIE DE 6 MOIS + SERVICE APRES VENTE
#PROTECHASSIBA THE BEST LAPTOPS
E-MAIL:ORANGEHASSIBA7@GMAIL.COM
SITE WEB : WWW.ORANGEHASSIBA.COM

#neverstopexploring #fyp #foryourprofil #viral #algérienne #جزائريات #pcgames #pcgamer cgamer #pc #informatique #computer #technology chnology #dzair #dz #laptopgaming #laptop #tech #dzpower🇩🇿 #شوشع_العالمية🇩🇿 #الشعب_الصيني_ماله_حل😂😂 #fypシ @大好物は高カロリー🐷୭*ﾟ #tik_tokd",72000.0,2025-03-08T20:41:51.000Z,Alger centre,,Neuf jamais utilisé,,,,,,,15.6,,0,0,0
,"LAPTOP HP PROBOOK 450 G8 I5-1135G7 8GB RAM 256GB SSD ECRAN 15.6"" FHD ","LAPTOP HP PROBOOK 450 G8 

I5-1135G7 

8GB RAM 256GB SSD 

ECRAN 15.6"" FHD 

Etat 08/10  

 **Prix** : 82000da   

Livraison à domicile disponible 58 wilaya Paiement à la Livraison",82000.0,2025-05-07T13:35:43.000Z,Bab ezzouar,Intégrée,Etat neuf,HP,I5-1135G7,8 GO,,,256GO,15.0,SSD,8,256,0
Chromebook HP 14-db0001nf 14 pouces,HP Chromebook AMD A6 4/64,"Chromebook HP 14-db0001nf 14"" Processeur AMD A6 - Ram 4 Go - ssd 64 Go.
Très bon état (juste impact sur le plastique qui ne gêne pas son utilisation).
Caba Fr ",19000.0,2025-06-14T21:19:11.000Z,Setif,,Bon état,HP,,4 GO,,,64GO,14.0,SSD,4,64,0
ASUS ROG ZEPHYRUS G14,ASUS ROG ZEPHYRUS G14/ RYZEN 7-6800HS/ram 16gb/disk 512/AMD RADEON RX 6700S 8GB,"#لسنا_الوحيدين_لكننا_الافضل 😍
🔴 دير الفار خويا معانا غيرررر les promotion 
🔴    كامل نعرفو بلي ASUS تخدم غير المخير تاع المخير بصح هدا اسمحلي  هدا سبيسيال بكل المقاييس فيه كلش مليح 
نتا لتحتاج حاجة بزاف قاوية وتكون حجم صغير نقلك مرحبا  بيك عندنا ونخليك تشوف وتسمع واش جبنالك😍
🛑ASUS ROG ZEPHYRUS G14  😍
 🔴  RYZEN 7-6800HS  5.3ghz
 🔴 ram 16  gb ddr4 3200 hz
 🔴disk 512 gb ssd nvum
 🔴 carte graphique
 ⏩ amd  TM graphique 4gb
⏩ AMD RADEON RX 6700S   8GB UP 24GB
 🔴ecran 14  pouce  IPS  144HZ   😍😍😍
 🔴 batterie 5h et plus
 🔴 clavier  lumineux 
 🔴 chargeur original 
 🔴 windows 11original 
 🛑 prix 229000da 🛑💥
 وبزاااف صوالح ...
  Livraison 58 wilaya
 
 البيع في المحل 
  Microsoft pro babzouar
🔴 Adresse du Magasin 🏪 : Bab Ezzouar enface USTHB
Microsoft pro
P58P+RQ9, Bab Ezzouar


رابط صفحتنا على الأنستغرام 
/...
POSSIBILITE DE FACTURATION
LIVRAISON GRATUITE SUR 58 WILAYAS",195000.0,2024-09-16T16:50:59.000Z,Bab ezzouar,Integrée + Dédiée,Etat neuf,ASUS,RYZEN 7-6800HS  5.3ghz,16 GO,AMD RADEON RX 6700S   8GB UP 24GB,amd  TM graphique 4gb,512GO,14.0,SSD,16,512,0
640 g5,Hp probook ,,49999.0,2025-02-17T14:41:31.000Z,Rouiba,,Etat neuf,HP,i5 8th eme gn,8 GO,,,256GO,14.0,SSD,8,256,0
,ACER ASPIRE 5 I5 13EME 16GB/512GB ,"💻ACER ASPIRE 5💻
🔸Processeur : INTEL I5 1335U
🔸 Mémoire : 16GB DDR4
🔸 Disque dur : 512 GB SSD
🔸 Carte Graphique: INTEL IRIS XE
🔸 Écran : 13 POUCE FHD
🔸 Système D’exploitation : WINDOWS
🔸 Etat : EXCELLENTE ÉTAT

💰Prix : 109.000DA

📞: 0676722551
0799061002

📍 Gps : Eternel store beb zouar
Possibilité du facturation pour les entreprises.

®️ Garantie trois Mois
🚚 Livraison 58 Wilayas
💰Payement à la livraison",109000.0,2025-04-09T13:49:37.000Z,Bab ezzouar,Intégrée,Etat neuf,ACER,INTEL I5 1335U,16 GO,,,512GO,13.0,SSD,16,512,0
i5 10g,Dell inspiron 153511,"Processeur Intel® Core™ i5-1135G7 de 10e génération (8 Mo de mémoire cache, 4 cœurs, 8 threads, 2,40 GHz à 4,20 GHz, 15 W )",70000.0,2024-09-04T13:58:08.000Z,El bouni,Intégrée,Bon état,DELL,,8 GO,,,256GO,15.6,SSD,8,256,0
,Lenovo ThinkPad X13 Gen 3,"Lenovo ThinkPad X13 Gen 3 - (Ryzen 5 Pro - Ram 32 Go - SSD 512 Go)Neuf jamais servie (KABA)
Portable professionnel ultraléger
Clavier AZERT
Processeur : AMD Ryzen5 Pro
RAM : 32 GO DDR4
SSD : 512 GO nvme
Écran : 13,3 pouces
Wifi 6E + Bluetooth 5.2
2 ports USB-C
2 ports USB
1 Port HDMI
Connecteur mixte écouteurs/micro
Windows 10 Pro d'origine licence officielle
Batterie 41 mWh (9h d’autonomie)
Poids 1,19 Kg
Fourni avec son chargeur 65 W (compatible RapidCharge)",110000.0,2025-07-28T11:02:27.000Z,Bouzareah,Intégrée,Neuf jamais utilisé,LENOVO,AMD Ryzen5 Pro,32 GO,,,512GO,13.3,SSD,32,512,0
HP Docking Station,HP Thunderbolt Dock Station 120w G4 & Chargeur ORIGINAL,"Améliorez votre sécurité, votre productivité et votre connectivité avec cette station d'accueil Thunderbolt™ 4. Il protège votre réseau et vos appareils dès votre connexion, prend en charge la compatibilité multi-OS [1] et peut prendre en charge jusqu'à quatre écrans 4K [2] . Idéale pour les informaticiens et les travailleurs hybrides, cette station d'accueil facilite également la gestion des appareils à domicile ou au bureau.

Ports externes 01


Composants supérieurs : LED et bouton d'alimentation pour alimenter ou réveiller le système hôte 
Composants avant : 1 x sortie de données/alimentation USB-C (USB 3.2 Gen 2, données 10 Gbit/s uniquement) 
Composants latéraux : Côté droit : 1 x emplacement pour verrou standard Kensington ; 2 x ports USB 3.2 Gen 1 - 1 de chaque côté (chargement) (5 Gbit/s) Composants arrière : 2 x USB 3.2 Gen 1 (ports de chargement lorsqu'ils sont connectés) (5 Gbit/s) ; 1 port HDMI 2.0 ; 2 ports DisplayPort 1.4 ; 1 port pour adaptateur secteur ; 1 x port Ethernet : 2 cartes NIC internes pour prendre en charge Ethernet 1 Go et 2,5 Go ; 1 port USB-C DP en mode alternatif ; 1 port Thunderbolt™ 4

Source de courant:
Entrée 100 à 240 V 1,7 A 50 à 60 Hz. La sortie est de 19,5 V à 6,15 A

Gestion de la sécurité
Emplacement pour verrou Kensington standard
Systèmes d'exploitation compatibles:
Windows 11 ; Windows 10 ; MacOS ; Chrome

Dimensions (LXDXH):
3,9x3,9x2,7 pouces

*** Note : POSSIBILITÉ DE FACTURATION POUR LES ENTREPRISES ***

Pour plus d'informations veuillez nous contacter
Livraisons 58 Wilayas et le paiement a la livraison main a main
Possibilité de Facturations
Horaires de Travail : du Samedi au Jeudi , de 09H A 18H30

Facebook & Instagram : Mido Camera
Google Maps GPS : Mido Camera

Le magasin Mido Camera mais a votre disposition la fourniture de toutes Matériel & équipements audiovisuel & informatique en Algérie
Pour vous accompagner dans vos projets d'investissements, et quelque soit le cadre de financement ( ANGEM , CNAC, ANSEJ, Crédit bancaire,..) notre magasin met à votre dispositions une large gamme de matériel et d'équipements de Production avec pièces de rechange disponible et un service après vente de qualité.",42000.0,2025-02-16T12:20:06.000Z,Bab ezzouar,,Neuf jamais utilisé,,,,,,,15.6,,0,0,0
Lenovo X250 I5 ,Lenovo X250 I5 4th 8GB 256GB SSD HD,"Disponible Chez #Tretec_informatique ""Magasin de Service, Vente et Dépannage de matériel informatique"" - Bab Ezzouar -
—————————————————————————
- Fournir Avec Chargeur Original
- Livraison à domicile
- Garantie 02 mois + Service après vente
—————————————————————————

Produit : Ordinateur Portable
Marque : Lenovo
Modèle : LENOVO X250

Caractéristiques :

• Processeur: Intel® Core™ i5-4200U @ ""4th Generation"" 4M Cache, up to 2.60 GHz
• Memoire vive: 8 Go
• Disque Dur: 256GB SSD
• Ecran: 12"" 1366 x 768 HD
• Carte Graphique intégrée : INTEL HD GRAPHICS FAMILY
•MINI DP
• Interfaces : 2 x USB 3.0 / 2 x Type-C / HDMI / SD CARD
• WIFI/ BLUETOOTH/ WEB CAM
• System d'exploitation: Windows Original


Prix: 32 000.00 DZD


*** Note : POSSIBILITÉ DE FACTURATION POUR LES ENTREPRISES ***

•Contact : 0559425599
• Email : contact@tretec-dz.com
• Page Facebook : www.facebook.com/tretec.dz
• SITE Web : www.tretec-dz.com
• https://maps.app.goo.gl/YtG9YiR813uLCYCbA",32000.0,2024-09-17T12:36:56.000Z,Bab ezzouar,Intégrée,Bon état,LENOVO,I5 4200U,8 GO,,INTEL HD GRAPHICS FAMILY,256GO,12.0,SSD,8,256,0
,"LENOVO THINKPAD X1 CARBON I5 8350U 16GB 256SSD 13.3"" ","ORDINATEUR PORTABLE
MODEL: LENOVO THINKPAD X1 CARBON
--------Caractéristiques‐‐--------
✅Processeur: INTEL CORE I5 8350U 1.90UP TO 3.80 GHZ
✅Mémoire vive: 16 GB DDR 4 2133MHz
✅Disque Dur: 256 GB SSD NVME
✅CARTE GRAPHIQUE : INTEL UHD
✅Ecran : 13.3 FHD
✅Clavier : QWERTY
✅Interfaces :
3 USB
2 TYP C
1 RG 45
1 HDMI
1 prie jack (casque, écouteurs,...)
...................PRIX 65000da.....................
✅Système d'exploitation:
WINDOWS 11
✅Payement Baridi Mob accepté ✅
✅Fournir Avec Chargeur
✅Livraison à domicile payement à livraison
Garantie 03 MOIS avec facture de garantie
☎️ Contact :Commercial : 0562387372/0777626558/ 0778792038",65000.0,2025-01-20T09:41:14.000Z,Bab ezzouar,Intégrée,Bon état,LENOVO,intel core i5 8350u 1.90up to 3.80ghZ,16 GO,,intel uhd,256GO,13.0,SSD,16,256,0
,Lenovo ideapad L3i 15ITL6,مستعمل مرات قليل جدا تعد على الأصابع ، في حالة جد جيدة ,83000.0,2024-12-19T18:30:12.000Z,Ain azel,Integrée + Dédiée,Etat neuf,LENOVO,Intel core i5,8 GO,,,1TBGO,15.6,HDD,8,0,1024
,CHROMEBOOK slim,"Chromebook venue D'ANGLETERRE 
il ya 01 mois
£ 250",65000.0,2024-09-23T13:27:39.000Z,,,Etat neuf,LENOVO,chrome OS,4 GO,,,,14.0,HDD,4,0,0
,"DELL Inspiron 15 3501,Intel Core i7-1165G7, 8GB 2666MHz, 256GB SSD, iRis Xe, 15.6"" FHD","✳️ Caractéristiques :
-—————————————————
🔹️Processeur : Intel Core i7-1165G7 (Quad-Core 1,2 GHz - 2,8 GHz / 4,7 GHz Turbo - 8 threads - 12 Mo de cache)
🔹️Ram : 8GB DDR4 à 2666MHz
🔹️Stockage : 256GB SSD M.2 PCIe NVMe
🔹️Carte graphique : Intel Iris Xe 
🔹️Ecran : 15,6"" avec résolution Full HD (1920 x 1080 pixels) et panneau Wide View
🔹️Wi-Fi AC + Bluetooth 5.0
🔹️Caméra HD 720p
🔹️Haut-parleurs stéréo, 2 x 2 W = 4 W au total
🔹️Ports : 
- 2 x USB-A 3.2 Gen 1
- 1 x USB 2.0
- 1 x prise jack d’alimentation
- 1 x casque (combiné écouteurs et microphone)
- 1 x  port HDMI 1.4 (la résolution maximale prise en charge sur HDMI est de 1 920 x 1 080 à 60 Hz. Pas de sortie 4K/2K)
-—————————————————
📍Adresse : Hussein Dey/ Alger 
📞 : 0540321200/ 0542583958
📩 E-Mail : computerazur@gmail.com
📦 Livraison 58 Wilaya 💵 Payement a la livraison 
💳 CCP/ BaridiMob/ Paysera/ Paypal/ Wise
📃 Possibilité de facturation 
————————————————————————
",88000.0,2025-08-11T12:48:13.000Z,Hussein dey,Intégrée,Bon état,DELL,"Intel Core i7-1165G7 (Quad-Core 1,2 GHz - 2,8 GHz / 4,7 GHz Turbo - 8 threads - 12 Mo de cache)",8 GO,,Intel Iris Xe,256GO,15.0,SSD,8,256,0
MAC MINI ,MACMINI M4 16/256GB SCELLE 12MOIS GRNT MAC MINI M4 MACMINI M4 ,,169000.0,2025-08-07T09:55:29.000Z,Dely brahim,Intégrée,Neuf jamais utilisé,APPLE,M4,,,,256GO,15.6,SSD,0,256,0
DELL Latitude 5510 15.6 FHD Intel 10th i5 10210U - 16GB RAM - 512GB SSD - Intel UHD Graphics,DELL Latitude 5510 15.6'' FHD Intel 10th i5 10210U - 16GB RAM - 512GB SSD - Intel UHD Graphics,"DELL Latitude 5510 15.6'' FHD Intel 10th i5 10210U - 16GB RAM - 512GB SSD - Intel UHD Graphics
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
➡️ ÉTAT NEUF 10/10 ➡️ Fournie avec chargeur d'origine ➡️
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
⏬
‎✔️ التوصيل لكل ولايات الوطن ✔️
‎⬅️ الدفع عند الإستلام ⬅️
‎✔️مع امكانية الدفع عن طريق بطاقة بايسرا ✔️

⬅️
للطاب أو الإستفسار يرجى الإتصال بنا في الهاتف أو على واتساب في
☎️ O6 73 59 49 24 ☎️ : الرقم التالي
⬅️
➡️ disponible aussi sur Viber ou WhatsApp ☎️ O7 76 09 75 07 ☎️ ⬅️
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
➡️ Livraison 58 wilaya ➡️
➡️ Payement à la collecte ➡️
☎️ Whatsapp :☎️ O7 76 09 75 07 ☎️ ☎️ WhatsApp :☎️ O6 73 59 49 24 ☎️
- - - - - - - - - - - - - - - - - - - - - -
➡️ lieu Mostaganem centre Ville. Livraison 48 Wilaya ➡️➡️
✅✅✅✅
New Arrivage Affaire À Ne Pas Rater",65000.0,2025-08-06T10:56:23.000Z,Mostaganem,Intégrée,Etat neuf,DELL,Intel 10th i5 10210U,16 GO,,Intel UHD Graphics,512GO,15.0,SSD,16,512,0
HP OMEN ,HP OMEN RAYZEN 7 8450hs 16G RAM DRR5 5600MHZ 1T SD NVME RTX 4060 8G DRR6 ,,295000.0,2025-06-21T12:11:56.000Z,Bab ezzouar,Integrée + Dédiée,Neuf jamais utilisé,HP,RAYZEN 7 8450HS,16 GO,RTX 4060,IRIS XE,1000GO,17.0,SSD,16,1000,0
HP ELITBOOK 840 G6,HP ELITBOOK 840 G6,"HP EliteBook 840 G6
 CPU :  Core i5  8365U 1,9GHZ
 RAM : 16GO DDR4
 DISQUE SSD NVME : 256GO
 ECRAN : 14 POUCES TACTILE
 WIFI/ WEBCAM/ BLEUTOOTH
 EMPREINTE DIGITALE : OUI
 WINDOWS : 10 D'ORIGINE
",60000.0,2025-08-02T13:34:11.000Z,Alger centre,Intégrée,Bon état,HP,INTEL HD,8 GO,,INTEL HD,256GO,14.0,SSD,8,256,0
Dell G3 3579 ,pc portable للألعاب و المونتاج ,ماشاء الله يشغل الالعاب و برامج المونتاج تقدر بيه كل شيء ,92000.0,2025-07-06T09:07:15.000Z,El bouni,Integrée + Dédiée,Bon état,DELL,Intel(R) Core(TM) i7-8750H CPU,16 GO,Nvidia GeForce GTX 1050ti,intel UHD GHRAFIQUE 630,512GO,15.6,SSD,16,512,0
,Hp elitebook écran tactile ,"Hp élitebook 
i5 11th 
16gb ram
256 ssd
Écran 14"" tactile 
État 10 ",77000.0,2025-07-02T12:28:31.000Z,Bejaia,,Etat neuf,HP,I5 11th,16 GO,,,256GO,14.0,SSD,16,256,0
HP 250 G10,HP 250 G10 NEUF,Hp 250 G10 i5 13eme 8/256,125000.0,2025-07-31T21:33:21.000Z,Batna,,Neuf jamais utilisé,HP,I5 13eme,8 GO,,,256GO,15.0,SSD,8,256,0
Elite X2 i5 touch screen ,Hp Elite X2 i5,"Elite X2 i5 touch screen 
Clavier detachable 
Battery 💯 🔋 
16G / 256G",56000.0,2025-06-13T17:17:56.000Z,Alger centre,,Etat neuf,HP,i5,16 GO,,,256GO,14.5,SSD,16,256,0
EliteBook x360 830 G8,"HP EliteBook x360 830 G8 i5-1135G7 16Go 256GB NVMe 13,3"" FHD IPS TACTILE 360","💻 HP EliteBook x360 830 G8 💻

🔹 CPU : Intel® Core™ i5-1135G7 (2,4 GHz de fréquence de base, jusqu’à 4,2 GHz en Boost maximal, 8 Mo de mémoire cache L3, 4 cœurs, 8 threads)
🔹 RAM : 16 Go DDR4 3200 MHz
🔹 STOCKAGE : SSD 256 Go M.2 - PCIe NVMe
🔹 GPU : Intel® Iris® Xe Graphics
🔹 ÉCRAN : Écran FHD de 13,3"" (1920 x 1080), IPS, tactile 360°, bord-à-bord, antireflet, compatible stylet, 250 nits, 45 % NTSC

🔹 WLAN : Wi-Fi 6 (802.11ax)
🔹 Bluetooth : 5.0
🔹 LECTEUR EMPREINTE
🔹 CLAVIER : AZERTY rétroéclairé
🔹 Ports d'E/S :
2 x USB Type-C® Thunderbolt™ 4 (Power Delivery, DisplayPort)
2 x USB Type-A 3.2 Gen 1
1 x HDMI 2.0
1 x combo jack casque/microphone

🔹 Dimensions : 306,9 x 194,6 x 17,9 mm (L x P x H)
🔹 Poids : À partir de 1,25 kg
-------------------------------------------------------------------------------------------------------------------------------------------------------
🔴MOBILE 📱 COMMERCIAL : 0561-66-45-16
🔴POSSIBILITE DE FACTURATION
🔴LIVRAISON DISPONIBLE SUR 58 WILAYAS
🔴PAIMENT A LA LIVRAISON",115000.0,2025-07-25T11:07:52.000Z,Kouba,Intégrée,Etat neuf,HP,"Intel® Core™ i5-1135G7 (2,4 GHz de fréquence de base, jusqu’à 4,2 GHz en Boost maximal, 8 Mo de mémoire cache L3, 4 cœurs, 8 threads)",16 GO,,Intel® Iris® Xe Graphics,256GO,13.0,SSD,16,256,0
UX425E ,Asus Zenbook,,100000.0,2025-07-22T13:59:08.000Z,Dely brahim,,Etat neuf,,I7 - 1165G7,16 GO,,,512GO,14.0,SSD,16,512,0
,Pc portable ,,35000.0,2020-12-12T21:15:42.000Z,Souk el had,,Bon état,HP,Intel (R) core (TM) i3-3110M,512 GO,,,128GO,17.0,Autre,512,128,0
Workstation P52,Lenovo Thinkpad P52 i7/48GB/1TB/ Nvidia P2000,"Lenovo THINKPAD P52 UK STOCK
Laptop pour les createurs, Gamers, Software engineers, Developers, AI Engineers....
Intel I7 8850h (6c / 12t) 
48GB RAM DDR4 @2666Mhz
1TB SSD NVME + 1 SLOT vide
NVIDIA Quadro P2000 4GB
Ecran 15.6'' 4K True SRGB, Touchscreen.
Chargeur 160W Original
Clavier QWERTY UK Lumineu
Battery 1h30m
Emprinte digital
Face Unlock
3* USB type A 3.2
2* USB type C Thunderbolt 3.0
1* HDMI
1* Mini Display Port
1* Ethernet 
1* SD card reader",135000.0,2025-06-30T14:24:51.000Z,Birtouta,Integrée + Dédiée,Bon état,LENOVO,Intel I7 8850H,64 GO,NVIDIA Quadro P2000,Intel UHD 630,1000GO,15.0,SSD,64,1000,0
HP elitebook 840 g9,Elitebook  840 g9,"HP elitebook 840 g9
Clavier AZERTY
Etat 10/10
Ram 16gb
SSD 512 gb 
CPU i5 1245u 1.6 ghz",95000.0,2024-08-24T11:50:39.000Z,Mohammadia,Intégrée,Etat neuf,HP,I5 1245u 1.6 ghz,16 GO,,Intel iris,512GO,14.0,SSD,16,512,0
L15,Lenovo Thinkpad L 15 16/256 15.6 Pouce,"Lenovo Thinkpad L15
✅CPU: Intel I5 10 Eme
✅RAM: 16 GO DDR4 
✅Stockage: 256 GB SSD NVME
✅GPU: Intel UHD Graphics
✅Écran: 15.6 FHD
✅Windows 10
✅Etat 10/10
✅chargeur original 
✅ FR 🇨🇵
موقع المحل:


Facebook




✅ Prix 70.000 DA
TLFN ",70000.0,2025-02-09T19:06:36.000Z,Tiaret,Intégrée,Etat neuf,THINKPAD LENOVO,I5 10 Eme,16 GO,,8GO,256GO,15.6,SSD,16,256,0
,Samsung Tab A7,Sas chargeur ,34500.0,2022-06-24T00:47:15.000Z,Bab ezzouar,,Neuf jamais utilisé,,,3 GO,,,,15.6,,3,0,0
HP 250 G8 ,"HP 250 G8 I3 10th 8 GB 256 GB SSD FHD 15""","Disponible chez TRETEC INFORMATIQUE Magasin de service , vente et dépannage de matériel informatique -BAB EZZOUAR-
ORDINATEUR PORTABLE Importé d’Europe ""Caba"" Très Haute Qualité et Bonne Prix Avec **GARANTIE**
------------------------------------------
• FOURNIR AVEC CHARGEUR ORIGINAL
• LIVRAISON A DOMICILE
• GARANTIE 02 MOIS + SERVICE APRES VENTE
------------------------------------
• PRODUIT : ORDINATEUR PORTABLE
• MARQUE : HP
• MODELE : 250 G8
-------------------------------------
CARACTERISTIQUE :
• PROCESSEUR : Intel Core i3-1005G1 ""10th Génération"" 4M Cashe , up to 3.40 GHz, with IPU
• MEMOIRE : 8 GB
• STOCKAGE : 256 GB SSD
• ECRAN : 15"" FHD (1920 × 1080)
• CARTE GRAPHIQUE INTIGREE : Intel® UHD Graphics
• INTERFACES : 2 X USB 3.0 / 1 X USB TYPE C / 1 X HDMI / USB 2
• WIFI + BLEUTHOOT + WEB CAM
• SYSTEM D’EXPLOITATION : WINDOWS ORIGINAL

PRIX : 57 000,00 DZD


*** Note : POSSIBILITÉ DE FACTURATION POUR LES ENTREPRISES ***
----------------------------------
•Contact : -
• Email :
• Page Facebook :
• SITE Web :
•",57000.0,2025-03-13T09:39:26.000Z,Bab ezzouar,Intégrée,Bon état,HP,I3 1005G1,8 GO,,INTEL UHD GRAPHICS,256GO,15.0,SSD,8,256,0
Dell,DELL précision 5550,,153000.0,2025-05-29T18:35:04.000Z,Constantine,Integrée + Dédiée,Bon état,DELL,I9 10800h,8 GO,NVIDIA QUADRO T2000,Intel utlra HD,512GO,15.0,SSD,8,512,0
M1 2020,MacBook pro,"MacBook pro m1 2020 
في حالة جيدة 
stockage 256 g ssd
Ram 8 g
Fichaur est  renouvelé معاود بالفاتورة
Cycle de batterie 18
Sans chargeur 
avec garantie ",113000.0,2025-01-06T14:35:17.000Z,Ferdjioua,Intégrée,Bon état,,M1,8 GO,,M1,256GO,13.0,SSD,8,256,0
lenovo thinkpad t450s,Pc Portable lenovo thinkpad t450s tres bonne etat ,"Tres Bonne Etat A Ne Pas Rater Pc Puissant , Jamais Ouvert Chargeur Original Et Avec Son Cartable Avec 5 Jeux Installe : Gta5 , Bloodstrike , Roblox,  among us , Tombraider Defenitive Edition",35000.0,2025-01-25T18:16:02.000Z,Mekla,Intégrée,Bon état,LENOVO THINKPAD T450S,intel i5 5500,8 GO,,,256GO,14.0,SSD,8,256,0
,HP LAPTOP 15 FD0XXX I7 1355U 16GO 1TO SSD NVME TACTILE ,"HP LAPTOP 15
FDOXXX
2023
ECRAN 15.6"" FHD LED TACTILE
CPu INTEL CORE I7 1355U 3.7GHZ 
BOOST 5.0GHZ 10CORES 12 THREADS
12MO CACHE
RAM 16GO DDR4X 3200MHZ 
DISQUE 1000 GO 1TO SSD NVME
WIFI/BLUETOOTH/WEB CAM
USB 3.1
GRAPHIC
INTEL IRIS XE GRAPHIC 
ECRAN 15.6"" FULL HD 1080P LED 
ANTIREFLET IPS TACTILE 
CLAVIER RETRO ECLAIRE 
WINDOWS 11 ORIGINALE
PRIX : 138000da

- - - - - - - - - - - - - - - - - - -
MOBILE 📱 COMMERCIAL RABAH : 0551.67.46.36
POSSIBILITE DE FACTURATION
LIVRAISON GRATUITE SUR 58 WILAYAS
GARANTIE DE 6 MOIS + SERVICE APRES VENTE
#PROTECHASSIBA THE BEST LAPTOPS
E-MAIL:ORANGEHASSIBA7@GMAIL.COM
SITE WEB : WWW.ORANGEHASSIBA.COM

#neverstopexploring #fyp #foryourprofil #viral #algérienne #جزائريات #pcgames #pcgamer cgamer #pc #informatique #computer #technology chnology #dzair #dz #laptopgaming #laptop #tech #dzpower🇩🇿 #شوشع_العالمية🇩🇿 #الشعب_الصيني_ماله_حل😂😂 #fypシ @大好物は高カロリー🐷୭*ﾟ #tik_tokd",138000.0,2024-10-13T18:19:04.000Z,Alger centre,,Neuf jamais utilisé,,,,,,,15.6,,0,0,0
