reference,title,description,price_preview,created_at,city,spec_Carte graphique,spec_Etat,spec_Marque,spec_Processeur,spec_RAM,spec_Reférence carte graphique dédiée,spec_Reférence carte graphique integrée,spec_Taille du disque,spec_Taille écran,spec_Type disque
15-fb1013dx,Hp Victus 15,"💻 Hp Victus 15-fb1013dx
⁦✔️⁩ AMD Ryzen 5 7535HS
⁦✔️⁩ RAM 16GB DDR5
✔️ 512GB SSD
⁦✔️⁩ GeForce RTX 2050 4GB
⁦🖥️ Ecran 15.6"" Full HD 144Hz
✔️ Clavier lumineux
✔️ Avec chargeur et boîtier
💎 Très bonne qualité (presque neuf)",145000,2024-10-22T19:21:21.000Z,Tebesbest,Integrée + Dédiée,Etat neuf,Hp,AMD Ryzen 5 7535HS,16 GO,,GeForce RTX 2050 4GO,512GO,"15.6"" ",SSD
m2 ,macbook 2022 m2 locked,macbook m2 ,42000,2025-08-01T01:35:06.000Z,Souk ahras,,Bon état,macbook m2,i5,8 GO,,,256GO,,SSD
Latitude 7420,Latitude 7420 i5 11 gen 16 Gb ram 256 ssd ecran 14 pouce FHD tactil etat 10/10 intel iris xe,"💻 DELL LATITUDE 7420 carbon tactil 💻 
✅Cpu: Intel core i5-1145G7
✅Ram: 16 Gb DDR4 🚀
✅Disque : 256Gb SSD  NVME
✅Carte Graphique : INTEL Iris Xe
✅Écran : 14” FULL HD TACTIL 🏞️ 
✅/ USB 3.1 Type C
✅Port USB 3.0 
✅Webcam / Wi-Fi / Bluetooth
✅Windows 10 Pro 64Bit 💯💯💯💯
✅Autonomie de la batterie +4H 🔋🔋🔋
✅Avec Chargeur Original 🔌🔌🔌🔌
✅Avec Garantie 🧾🧾🧾🧾
✅Magasin hassiba pc
Prix :77 000 da  DA 
Alger centre Hassiba informatique 
👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇
 📌 Adresse : 01 rue hassiba ben bouali proximité Direction régionale dès impôts
Hassiba Informatique 
0558 91 36 48",79000,2024-09-14T18:32:56.000Z,Alger centre,Intégrée,Etat neuf,Dell,Intel core i5 1145G7 1.90GHz,16 GO,,Intel iris xe,256GO,"14"" ",SSD
G614JV,ASUS ROG STRIX G614JV i9-13980HX 16DDR5 1TB SSD G4 16 POUCE ,"Salam disponible ASUS ROG STRIX SOUS EMBALLAGE JAMAIS SERVIE 
G614JV 

Garantie 12mois ✅
Livraison 58 wilaya ✅",400000,2025-06-18T11:54:37.000Z,Bab ezzouar,Integrée + Dédiée,Neuf jamais utilisé,Intel,I9-13980HX,16 GO,NVIDIA RTX 4060,Intel iris xe,1000GO,"16"" ",SSD
,LAPTOP THINKPAD T470 LENOVO / 8GB Ram / Batterie 5H ,"PC LAPTOP PROFESSIONNEL
MARQUE : THINKPAD T470  LENOVO
ETAT : EN TRÈS BON ÉTAT 10/10
GARANTIE : 3 Mois ⏳
----------------------------------------------------------
PROCESSEUR : i5-6200U 6ÉME GÉNÉRATION 
RAM : 8Go DDR4
DISQUE DUR : SSD 240 Go 
GPU : Intel HD 520
ÉCRAN : 14 POUCES HD 
Port USB / HDMI / Type C / RG45
CHARGEUR ORIGINAL
Batterie excellente +5H
----------------------------------------------------------
PRIX : 39000 DA
CONTACT :  / 
Livraison : 58 wilayas",39000,2024-08-13T09:22:05.000Z,Hussein dey,Intégrée,Etat neuf,,Intel i5-6200U 6ÉME GÉNÉRATION,8 GO,,Intel 520 HD,240GO,"14"" ",SSD
,LENOVO LEGION 9I PRO 16IRX9/I9-14900HX 5.8GHZ/RAM 32GB/2TB SSD/RTX 4090 16GB/16 3.2K MINI LED,"🔴اقوىpc  لابتوب في العالم مع احسن سعر في الجزائر عندنا وفقط😍😍
🔴نقدم لكم الوحششش ✅️✅️⏪️⏪️
🏆LENOVO LEGION 9I PRO 16IRX9🐉🐉
PREMIUM EDITION🏆
🚩VARIANT A:i9-14900HX RTX 4090 16gb
Operation System: Windows 11 
🔴Processor: i9-14900HX  5.8GHZ 24Core 32 threads
🔴Graphics: NVIDIA GeForce RTX 4090 16GB GDDR6. UP 32GB 175WATT 
🔴 ECRAN💢16.1"" Mini-Led 3.2K [3 200 x 2 000]
165 Hz IPS, DCI-P3, 1200 nits.
DisplayHDR™ 1000, Dolby Vision®, NVIDIA® G-Sync™.
🔴Memory:32GB DDR5  5600MHz
🔴Storage:2TB SSD  PCle 4.0 SSD GEN4
Interfaces:I/O:Left:USB 3.2 Gen1, USB-C()
               Right:USB 3.2 Gen1, Camera Switch, Audio 3.5mm
               Back:Rj45,USB-C(USB3.2 Gen2+DP1.4+PD), HDMI 2.1,2x USB 3.2 Gen1,Power Interface
Featured:DISPLAY HDR 400,NVIDIA G-SYNC,Dolby Vision,TUV Reinland
Liquid Cooling:Frost Blade Ultra 5.0
Keyboard and Touchpad:Backlit Keybaord
Camera: 720P HD Camera
Wireless Connectivity:Wi-Fi 6E & Bluetooth
Battery Adapter:330W Power Adapter
🔴
🔴 produit neuf jamais utilise sous emballage  avec garantie 
🔴 PRIX :☎️☎️",699000,2025-02-24T12:18:19.000Z,Bab ezzouar,Integrée + Dédiée,Neuf jamais utilisé,,Processor: i9-14900HX  5.8GHZ 24Core 32 threads,32 GO,,Graphics: NVIDIA GeForce RTX 4090 16GB GDDR6. UP 32GB 175WATT,2025GO,"16"" ",SSD
,HP ELITEBOOK 630 G9 i3 1215U 8 Go DDR4 256 Go SSD 13 Pouces Intel UHD Graphics,"HP ELITEBOOK 630 G9

✅ CPU: Processeur i3-1215U (6 cœurs, 8 threads, 10 Mo cache, 3.3 GHz, 4.4 GHz turbo)
✅ RAM: 8 Go DDR4 3200 MHz
✅ Stockage: 256 Go SSD PCIe NVMe
✅ GPU: Intel UHD Graphics
✅ Écran: 13.3"" FHD (1920 x 1080), Anti-reflets, Narrow bezel
✅ Lecteur d’empreintes digitales
✅ BON ETAT

***Produits garantis

***Disponible de 9h à 19h ou en mp sur whatsapp ou viber

*** email: 

***Livraison disponible,58 WILAYA
***Payement a la livraison.
***Possibilité de facturation
***Modalité de payement par carte ( CIB, VISA ( Paysera Wise) )
***Possibilité de Versement (CP BaridiMob Bancaire)

***MAPS: PC PRO DZ
***ADRESSE : cité 2068 Logements Bt 52/A local No10,Bab Ezzouar Bebezzouar, 16311",1,2024-11-26T09:21:42.000Z,Bab ezzouar,Intégrée,Bon état,HP,"Processeur i3 1215U 6 cœurs, 8 threads, 10 Mo cache, 3.3 GHz, 4.4 GHz turbo",8 GO,,Intel UHD Graphics,256GO,"13"" ",SSD
,HP OMEN X i5 8300H 8G GTX 1060 3G,"Produit : Ordinateur Portable
Marque : HP
Modèle : OMEN X

                                Caractéristiques 

* Processeur: Intel® Core™ i5 8300H 8Th Generation 
* Mémoire vive : 8 GB
* Disque Dur : 128 GB SSD + 1 TB HDD
* Ecran :  15.6"" Pouce FHD 1920X1080
* Carte Graphique dédiée : Nvidia GTX 1060 3G
* Interface : 1 x Type-C / 3 USB / HDMI
* Clavier Lumineux
* Wifi / Bluettooth / Web-Cam/ Mini Display
* Lecteur/Graveur CD/DVD
* System d'exploitation : Windows 10 Pro Original
",,2024-06-11T08:22:27.000Z,Bab ezzouar,,Etat neuf,,,,,,,,
HP LAPTOP 15,"HP LAPTOP 15 I7 12th 16 GB 512 GB SSD 15"" FHD","Disponible chez TRETEC INFORMATIQUE Magasin de service , vente et dépannage de matériel informatique -BAB EZZOUAR-
ORDINATEUR PORTABLE Importé d’Europe ""Caba"" Très Haute Qualité et Bonne Prix Avec **GARANTIE**
------------------------------------------------------------------------------------------------------------------
• FOURNIR AVEC CHARGEUR ORIGINAL
• LIVRAISON A DOMICILE
• GARANTIE 02 MOIS + SERVICE APRES VENTE
------------------------------------------------------------------------------------------------
• PRODUIT : ORDINATEUR PORTABLE
• MARQUE : HP
• MODELE : HP LAPTOP 15
-------------------------------------------------------------------------------------------------
CARACTERISTIQUE :
• PROCESSEUR : Intel® Core™ i7-1255U ""12th Génération"" 12M Cache, up to 4.70 GHz
• MEMOIRE : 16 GB
• STOCKAGE : 512 GB SSD
• ECRAN : 15"" FHD (1920 X 1080)
• CARTE GRAPHIQUE INTIGREE : Intel IRIS XE Graphique
• INTERFACES : USB 3.0 / USB C / HDMI
• WIFI + BLEUTHOOT + WEB CAM
• SYSTEM D’EXPLOITATION : WINDOWS ORIGINEL


PRIX : 92 000,00 DZD

*** Note : POSSIBILITÉ DE FACTURATION POUR LES ENTREPRISES **
-----------------------------------------------------------------------------------------------------
•Contact :
• Email :
• Page Facebook :
• SITE Web :
•",92000,2025-05-20T14:00:38.000Z,Bab ezzouar,Intégrée,Bon état,HP,I7 1255U,16 GO,,INTEL IRIS XE GRAPHICS,512GO,"15"" ",SSD
DELL LATITUDE 5530,"DELL LATITUDE 5530 I5 12th 16GB 512GB SSD FHD 15""","Disponible chez TRETEC INFORMATIQUE Magasin de service , vente et dépannage de matériel informatique -BAB EZZOUAR-
ORDINATEUR PORTABLE Importé d’Europe ""Caba"" Très Haute Qualité et Bonne Prix Avec **GARANTIE**
------------------------------------------
•FOURNIR AVEC CHARGEUR ORIGINAL
• LIVRAISON A DOMICILE
• GARANTIE 02 MOIS + SERVICE APRES VENTE
------------------------------------
• PRODUIT : ORDINATEUR PORTABLE
• MARQUE : DELL
• MODELE : LATITUDE 5530
-------------------------------------
CARACTERISTIQUE :
• PROCESSEUR : Intel® Core™ i5-1245U ""12th Génération"" 12M Cache, up to 4.40 GHz
• MEMOIRE : 16 GB
• STOCKAGE :512 GB SSD
• ECRAN : 15"" FULL HD (1920 X 1080)
• CARTE GRAPHIQUE INTIGREE : Intel® Iris® Xe Graphics
• CLAVIER LUMINEUX
• FACE ID ‘’RECONAISSANCE FACIALE
• Lecteur Empriente Digitale
• INTERFACES : 2 X USB 3.0 / 2 X USB TYPE C / 1 X HDMI
• WIFI + BLEUTHOOT + WEB CAM
• SYSTEM D’EXPLOITATION : WINDOWS ORIGINAL



PRIX : 97 000,00 DZD


*** Note : POSSIBILITÉ DE FACTURATION POUR LES ENTREPRISES ***
---------------------------------
• Contact : 0559425599

• Email : contact@tretec-dz.com

• Page Facebook : www.facebook.com/tretec.dz

• SITE Web : www.tretec-dz.com

• https://goo.gl/maps/qPRv6NosWeD2",97000,2024-08-24T09:44:15.000Z,Bab ezzouar,Intégrée,Bon état,DELL,Intel® Core™ i5-1245U,16 GO,,Intel® Iris® Xe Graphics,512GO,"15"" ",SSD
Lenovo IdeaPad 5,Lenovo IdeaPad 5 i7 1165G7 08GO RAM 512SSD 15.6 FHD ,"Chez BS informatique 
المحل مفتوح من 09:30 صباحا الى غاية 19:30 مساء 

>>> >> Lenovo IdeaPad 5
utilisé bonne état 
مستعمل في حالة جيدة

> Processeur : Intel® Core ™ I7-1165G7 (12 Mo cache up to 4.70 GHz, 04 cores, 08 threads )
> RAM : 08GO DDR4-3200MHz
> Stockage : 512 GB, PCIe NVMe, SSD
> Ecran : 15.6"" FHD (1920x1080)
> Carte Graphique : Intel® Iris Xe Graphics 
> Wi-Fi + Bluetooth + webcam + 
> CHARGEUR ORIGINAL 
> CLAVIER QWERTY 
> System d’exploitation: Windows 11
>>>>PRIX : 87 000 DA
———————————————————————————
 Garantie de 04 mios
> Livraison 58 WILAYA
> Payement à la collecte.
> CCP/ acceptée. Chèque virement
> Facturation Possible Pour Les Entreprises.
> E-Mail: bs.informatique16@gmail.com
> Telephone,Whatsapp, Viber:/ 0770 22-74-73/05 57-59-97-85
Localisation sur Google maps (BS INFORMATIQUE) a côté Station météo gué de Constantine
MOBILE  COMMERCIAL :0770227473
MOBILE  COMMERCIAL :0557599785
TÉLÉPHONE FAX :023935283
INSTAGRAM : @bs_informatique
maps
>>>>> BS INFORMATIQUE
Adresse a côté de la station métro de Gue
Constantine WILAYA d'Alger
#followmefollowyou
#hp #gaming #nvidia #rog #fps #design #3D #architecture #pubg #csgo #fortnite #laptop #ordinateur #ssd #windows #hightech #kouba #alger #algeria #algiers #dz ",87000,2024-09-25T10:13:46.000Z,Ain naadja,Intégrée,Bon état,Lenovo,Intel Core i7 1165G7,8 GO,,Intel iris Xe graphics,512GO,"15.6"" ",SSD
,Acer Aspire E 17 (Intel Core i5-7200U),"Processeur (CPU)
Intel Core i5 (7th Gen) 7200U / 2.5 GHz up to 3.2 GHz
Carte graphique (GPU)
NVIDIA GeForce 940MX
Mémoire vive (RAM)
8 GB (1 x 8 GB)
Stockage
256 GB SSD / 512 GB HDD
Taille de l'écran
17.3""

Batterie
0h",50000,2024-12-05T17:58:17.000Z,El khroub,Integrée + Dédiée,Bon état,ACER,I5 7200U 2.5 GHz up to 3.2 GHz,8 GO,940 MX,INTEL,768GO,"17"" ",2 disques SSD + HDD
,Acer aspire e15 ,"Acer aspire e15 i3 4005u 1.7 ghz et 4gb ram et une carte graphique intel hd 4400 il marche des jeux formidable comme : 
-grand theft auto 5 ou gta5 avec un peu de lag 
-grand theft auto 4 
-pes 2017 et 2018
-fifa 16
-recket legue ect.......
Avec un bon prix 5milion dinar 
Ne raté pas l'occasion ",5000000,2021-08-27T13:48:53.000Z,Mazouna,Intégrée,Bon état,Acer,,4 GO,,Intel HD 4400,500GO,"15.6"" ",HDD
Fx505G,ASUS TUF FX505G,"Asus tuf fw505g
Etat 10/10
Clavier AZERTY
Ram 8gb
SSD 128gb
HDD 1 to
CPU i5 8 ème
Batterie 100%
",85000,2024-08-24T11:31:36.000Z,Mohammadia,Integrée + Dédiée,Etat neuf,Asus,I5 8 eme,8 GO,GTX 1050,Intel iris,1128GO,"15"" ",2 disques SSD + HDD
Macbook pro 16 INCH M1 PRO,Macbook pro 16 INCH M1 PRO 16G 512G SSD CYCLE 10 ETAT NEUF ,"Macbook pro 16INCH M1 PRO/16G/512G SSD/CYCLE 10/ETAT NEUF 


✅ M1 PRO CPU 10 Cores GPU 16 cores
✅ 16Gb Ram 512 Go Stockage SSD

✅ 16 pouces “Liquid Retina XDR” (3456x2234) ProMotion
✅ cycle de charge : 10

ETAT NEUF

Produits garantis

☎️ Téléphone :

A (disponible de 9h à 19h ou en mp sur whatsapp ou
viber)



Livraison disponible,58 WILAYA
payement a la livraison.
Possibilité de facturation
Modalité de payement par carte ( CIB, VISA ( Paysera
Wise
Possibilité de Versement C CCP Bancaire)

MAPS: PC PRO DZ
ADRESSE : 
Bab Ezzouar Bebezzouar, 16311",255000,2025-04-19T10:42:52.000Z,Bab ezzouar,,Etat neuf,apple,M1 PRO,16 GO,,,512GO,"16"" ",SSD
,pc portable gamer acer nitro 5 RTX 3050 I5 11GEN,,1400000,2025-05-19T17:30:27.000Z,Miliana,Integrée + Dédiée,Bon état,ACER,I5 11,16 GO,RTX 3050,,1 TO SSD + 240 SSDGO,,SSD
HP VICTUS 16,"HP VICTUS 16 RYZEN 7 5800H 16 GB 1 TB SSD RX 5500M FHD 16""","Disponible chez TRETEC INFORMATIQUE Magasin de service , vente et dépannage de matériel informatique -BAB EZZOUAR-
ORDINATEUR PORTABLE Importé d’Europe ""Caba"" Très Haute Qualité et Bonne Prix Avec **GARANTIE**
------------------------------------------
• FOURNIR AVEC CHARGEUR ORIGINAL
• LIVRAISON A DOMICILE
• GARANTIE 02 MOIS + SERVICE APRES VENTE
------------------------------------
• PRODUIT : ORDINATEUR PORTABLE
• MARQUE : HP
• MODELE : VICTUS 16
-------------------------------------
CARACTERISTIQUE :
• PROCESSEUR : AMD Ryzen™7 5800H 16M cashe Up to 4.2GHz
• MEMOIRE : 16 GB
• STOCKAGE : 1 TB SSD
• ECRAN : 16"" FULL HD (1920 X 1080)
• CARTE GRAPHIQUE INTIGREE : AMD Radeon™ Graphique
• CARTE GRAPHIQUE DEDIEE : RADEON RX 5500M 
• CLAVIER LUMINEUX
• INTERFACES : USB 3.0 / USB TYPE C / HDMI
• WIFI + BLEUTHOOT + WEB CAM
• SYSTEM D’EXPLOITATION : WINDOWS ORIGINAL


PRIX : 139 000,00 DZD


*** Note : POSSIBILITÉ DE FACTURATION POUR LES ENTREPRISES ***
---------------------------------
•Contact : 0559425599-023842862
• Email : contact@tretec-dz.com
• Page Facebook : www.facebook.com/tretec.dz
• SITE Web : www.tretec-dz.com
• https://maps.app.goo.gl/YtG9YiR813uLCYCbA",139000,2025-01-12T15:46:23.000Z,Bab ezzouar,Integrée + Dédiée,Bon état,HP,1MD RYZEN 7 5800H,16 GO,RADEON RX 5500M,AMD RADEON GRAPHICS,1TBGO,"16"" ",SSD
,Pc portable Dell i5,Pc portable Dell neuf 8Go,,2024-08-24T23:27:07.000Z,Larhat,Intégrée,Etat neuf,,,8 GO,,,8GO,"00"" ",SSD
,"DELL XPS 15 9500 i7-10750H 32GB 1TB SSD TACTILE ECRAN 15""4K ","*Dell XPS 15 9500 .
*Écran: 15 Full Hd
*Processeur: i7-10750H
*Mémoire:32GB  De Ram 
*Stockage: 1TB SSD
*Carte Graphique NVIDIA GEFORCE GTX 1650 4GB
 DA
• Téléphone/Whatsapp 
° Adresse: Bab EZZOUAR Alger
Livraison Gratuite 58 Wilaya
*DISPONIBLE POUR LES ENTREPRISE",139000,2025-07-15T09:15:45.000Z,Bab ezzouar,,Etat neuf,,,,,,,,
HP Elitebook I5-6eme VPro Génération 8Gb Ram - 256Gb SSD ,HP Elitebook ,,35,2025-05-24T16:37:23.000Z,Birkhadem,Intégrée,Bon état,,I5 - 6eme generation,10 GO,,,256GO,"14"" ",SSD
,Microsoft Office 365 Activation,"disposez toujours des outils de productivité modernes à jour de Microsoft. Différentes offres Office 365 sont disponibles pour un usage familial ou personnel, ainsi que pour les PME, les grandes entreprises, les établissements d’enseignement ..

✅  Licence à vie
✅  Sans frais supplémentaires
✅  Forfait pour 5 appareils.

Fonctionne avec les téléphones Windows, MacOS et Android ou iOS

Logiciel Multilangue : vous pouvez choisir la langue que vous souhaitez utiliser. Y compris l'espagnol

Le package fonctionne sur les systèmes 32 et 64 bits.

Pour les systèmes d'exploitation Windows 7.8 et 10, MacOS X et supérieur, Android 4.0 et supérieur, iOS.

5 To d'espace disque dans le cloud OneDrive

✅La licence est envoyée par voie électronique, par e-mail

✅ Support technique aprés achat garantie


►► Paiment et les livraison :

• Paiement par : CCP (Virement par Poste) - BaridiMob - Paypal- Paysera - main à main uniquement sur Jijel.

• vous recevrez le(s) code(s) d'activation de votre commande aprés confirmation du paiments par email/Viber/whatsapp ou sms .

• Réception de la commande le jour même du paiement,(et instantanement) 1h maximum.
• Contactez-nous sur Viber/ Whatsapp/ Skype/ Messenger/ Imo : pour avoir plus de détails et information sur le paiments et la livraison .
• On met a jour nos prix et offre ...les prix mentionnés dans l'annonce sont susceptibles de changer à tout moment suivant les prix du taux de change.
• الدفع عن طريق: CCP (تحويل مصرفي) - BaridiMob - Paypal- Paysera - يدا بيد في جيجل فقط.

• سوف تتلقى رمز (رموز) التفعيل لطلبك بعد تأكيد الدفع عن طريق البريد الإلكتروني / Viber / whatsapp أو الرسائل القصيرة.

• استلام الطلب في نفس يوم الدفع ، (وفوراً) ساعة واحدة كحد أقصى.
• اتصل بنا على Viber / Whatsapp  / Messenger / Imo: لمزيد من التفاصيل والمعلومات حول المدفوعات والتسليم.
• نقوم بتحديث أسعارنا وعروضنا ... الأسعار المذكورة في الإعلان عرضة للتغيير في أي وقت وفقًا لأسعار الصرف

►► Contact :
Appel : 
Viber, WhatsAPP, et mobile au numéro 
",2400,2021-05-31T05:03:26.000Z,Beni tamou,,Etat moyen,,,,,,,,
15IRH8,"VENDU - LENOVO LOQ, Intel Core i7-13620H, 16GB, 512GB SSD, RTX4060 8GB, NEUF SOUS EMBALLAGE","✳️ Caractéristiques :
-—————————————————
🔹️Processeur : Intel Core i7-13620H, 10 cœurs (6 processeurs + 4 cœurs) / 16 cœurs, 2,4 / 4,9 GHz, 1,8 / 3,6 GHz, 24 Mo
🔹️Ram : 16GB DDR5-5200MHz
🔹️Stockage : 512GB SSD M.2 2242 PCIe 4.0x4 NVMe
🔹️Carte graphique : Intel UHD
🔹️Carte graphique dediée : NVIDIA GeForce RTX 4060 8 Go GDDR6, fréquence d'horloge Boost 2370 MHz, TGP 115 W
🔹️Ecran : 15,6"" FHD (1920 x 1080) IPS 350 nits antireflet, 45 % NTSC, 144 Hz, G-SYNC
🔹️Caméra HD 720p avec obturateur électronique
🔹️Haut-parleurs stéréo, 2 W x 2, optimisés avec Nahimic Gaming Audio
🔹️Clavier Rétroéclairage blanc
🔹️Wi-Fi 6, 802.11ax 2x2 + BT5.2
🔹️Ports : 
- 1 port USB 3.2 Gen 1
- 2 ports USB 3.2 Gen 2
- 1x USB-C® 3.2 Gen 2 (prise en charge du transfert de données, Lenovo® Power Delivery 140 W et DisplayPort™ 1.4)
- 1x HDMI® 2.1, jusqu'à 8K/60Hz
- 1x prise combinée casque/microphone (3,5 mm)
- 1x Ethernet (RJ-45)
-—————————————————
📍Adresse : Hussein Dey/ Alger 
📞 : / 
📩 E-Mail : 
📦 Livraison 58 Wilaya 💵 Payement a la livraison 
💳 CCP/ BaridiMob/ Paysera/ Paypal/ Wise
📃 Possibilité de facturation 
————————————————————————",,2024-11-11T15:26:12.000Z,Hussein dey,Integrée + Dédiée,Neuf jamais utilisé,LENOVO,Intel Core i7-13620H,16 GO,"NVIDIA GeForce RTX 4060 8 Go GDDR6, fréquence d'horloge Boost 2370 MHz, TGP 115 W",Intel UHD,512GO,"15"" ",SSD
DELL LATITUDE 7320,"DELL LATITUDE 7320 I5 11th 16GB 512GB SSD FHD 13"" ","  Disponible chez TRETEC INFORMATIQUE  Magasin de service , vente et dépannage de matériel informatique    -BAB EZZOUAR-
ORDINATEUR PORTABLE Importé d’Europe ""Caba"" Très Haute Qualité et Bonne Prix Avec **GARANTIE**
------------------------------------------
 •	FOURNIR AVEC CHARGEUR ORIGINAL
•	LIVRAISON A DOMICILE 
 •	GARANTIE 02 MOIS + SERVICE APRES VENTE 
------------------------------------
•	PRODUIT : ORDINATEUR PORTABLE 
•	MARQUE : DELL
•	MODELE : LATITUDE 7320
-------------------------------------
               CARACTERISTIQUE : 
•	PROCESSEUR : Intel® Core™ i5-1145G7 ""11th Génération"" 8 Mo de cache, jusqu'à 4,40 GHz, avec IPU
•	MEMOIRE : 16 GB 
•	STOCKAGE : 512 GB SSD 
•	ECRAN : 13"" FULL HD (1920 X 1080)
•	CARTE GRAPHIQUE INTIGREE : Intel® Iris® Xe Graphique 
 •	CLAVIER LUMINEUX 
 •	INTERFACES : 1 X USB 3.0 / 2 X USB TYPE C / 1 X HDMI 
•	WIFI + BLEUTHOOT + WEB CAM
•	SYSTEM D’EXPLOITATION : WINDOWS 10 Original 


PRIX : 75 000,00 DZD


*** Note : POSSIBILITÉ DE FACTURATION POUR LES ENTREPRISES ***
--------------------------------
•Contact : 
• Email : 
• Page Facebook : 
• SITE Web : 
• 
",75000,2024-03-04T10:47:58.000Z,Bab ezzouar,Intégrée,Etat neuf,DELL,Intel® Core™ i5-1145G7,16 GO,,Intel® Iris® Xe Graphique,512GO,"13"" ",SSD
ASUS X541UA,Laptop ASUS X541UA,"Chargeur original
Clavier remplacé
Écran de 15,6 pouces",35000,2025-07-27T14:20:50.000Z,Setif,Intégrée,Bon état,,Intel Core i5-6200U CPU @2.30GHz,4 GO,,intel HD Graphics 520 (128),"1000GB HDD, 500GB SSDGO",,2 disques SSD + HDD
B1402CVA,"Asus ExpertBook B1402CVA i7-1355U/16Go/512Go/Ecran 14"" FHD/UHD/Wifi 6/Clavier Azerty/Win11PRO","💻 Disponible chez HGOS !
ASUS B1402CVA – Puissant, compact et professionnel

Le ASUS B1402 allie performance et portabilité. Doté d’un processeur Intel Core i7 de 13e génération et d’un écran 14"" Full HD, il est parfait pour les professionnels mobiles et les tâches multitâches intensives. 

PRINCIPALES CARACTÉRISTIQUES
Description du produitASUS ExpertBook B1 B1402CVA-EB0182X - 14"" - Intel Core i7 - 1355U - 16 Go RAM - 512 Go SSD
Type de ProduitOrdinateur portable
Système d'exploitationWin 11 Pro
ProcesseurIntel Core i7 (13ème génération) - 1355U / 1.7 GHz, jusqu'à 5 GHz / 10 Mo Cache
Mémoire16 Go DDR4 (la mémoire fournie est soudée)
Stockage512 Go SSD - NVMe
Affichage14"" 1920 x 1080 / Full HD
GraphiqueCarte graphique Intel Iris Xe
Rétroéclairage du clavierOui
Webcam intégréeOui
Ré, Bluetooth 5.3, Gigabit Ethernet
Batterie3 cellules
SécuritéTrusted Platform Module (TPM 2.0) Security Chip, lecteur d'empreintes digitales
CouleurNoir étoilé
Dimensions (LxPxH)32.69 cm x 21.45 cm x 1.99 cm
 kg
Normes environnementalesTCO Certified Notebooks 9, ENERGY STAR EPEAT Gold
Indice de réparabilité8.6 (sur 10)",167500,2025-06-10T08:52:18.000Z,Ain benian,,Neuf jamais utilisé,ASUS,Intel i7-1355U,16 GO,,,512GO,"14"" ",SSD
ELITEBOOK 650 G10 ,"HP ELITEBOOK 650 G10  I5-1345U V-PRO / DDR4 16 GB / SSD 512 GO / EMPREINTE DIGITAL TACTI / 15.6""FHD ",,199000,2025-03-09T12:48:43.000Z,Draria,,Neuf jamais utilisé,HP,I5-1345U V-PRO,16 GO,,,512GO,"15"" ",SSD
ASUS TUF GAMING RYZEN 7,ASUS TUF GAMING RYZEN 7 3750 512GB 16 GB GTX 1650 FHD,"• Disponible Chez #Tretec_informatique ""Magasin de Service, Vente et Dépannage de matériel informatique"" - Bab Ezzouar -
—————————————————————————
- Fournir Avec Chargeur Original
- Livraison à domicile
- Garantie 02 mois + Service après vente
—————————————————————————

Produit : Ordinateur Portable
Marque : ASUS
Modèle : TUF Gaming 

Caractéristiques :

• Processeur: AMD® Ryzen™ 7 3750H (3000Series) @ 2.10 GHz Turbo Boost up to 3.70GHz/ 4M Cache
• Memoire vive: 16 Go
• Disque Dur: 512 GB SSD 
• Ecran: 15.6"" 1920 x 1080 Full HD
• Carte Graphique integrée : AMD RADEON RX VEGA 10 GRAPHICS
• Carte Graphique Dédiée : NVIDIA GEFORCE GTX 1650
• Clavier Lumineux Aura Tech
• Interfaces : 3 x USB 3.0 | Type-C | HDMI | RJ45
• WIFI/ BLUETOOTH/ WEB CAM
• System d'exploitation: Windows 10 Original


Prix: 125 000.00 DZD


*** Note : POSSIBILITÉ DE FACTURATION POUR LES ENTREPRISES ***
---------------------------------------------
• Contact : 0559425599

• Email : contact@tretec-dz.com

• Page Facebook : www.facebook.com/tretec.dz

• SITE Web : www.tretec-dz.com

• https://goo.gl/maps/qPRv6NosWeD2",125000,2024-10-30T13:30:08.000Z,Bab ezzouar,Integrée + Dédiée,Bon état,ASUS,RYZEN 7 3750H,16 GO,NVIDIA GEFORCE GTX 1650,AMD RADEON RX VEGA 10 GRAPHICS,512GO,"15"" ",SSD
براسك جديد هابط كابة ماشي 113,ماك بوك 2017,"
حاجة نظيفة نااع كسيبة مع شارجار دورجين",6,2025-06-25T21:13:25.000Z,Khenchela,,Etat neuf,ماك بوك 2017,,8 GO,,,,"17"" ",
,MacBook Pro 2020 paypas,1,,2025-06-21T22:47:03.000Z,Chlef,,Etat neuf,Appel,,,,,,,SSD
i7 12th gen ,Dell ,,10,2024-09-09T14:06:39.000Z,Bir el djir,,Bon état,,,16 GO,,,,,
